category,description,lang,rating_avg,title,has_rating,description_len
Contemporary Fiction,Renowned urban artist Shepard Fairey's new look for Orwell's dystopian masterpiece,en,4.18,1984,True,82
Reference Works,"These 100 skills, adapted for civilians from actual field experiences of Special Forces operations, offer a complete hands-on and practical guide to help you survive in the wild no matter the climate or terrain; be prepared for any crisis; and have the critical life-saving knowledge for staying safe in any hostile environment or disaster.",en,4.01,100 Deadly Skills: Survival Edition : The SEAL Operative's Guide to Surviving in the Wild and Being Prepared for Any Disaster,True,340
History Of The Americas,The 9/11 Report for Every American,en,3.69,The 9/11 Report : A Graphic Adaptation,True,34
European History,"The Nazi siege of Leningrad from 1941 to 1944 was one of the most gruesome episodes of World War II. Nearly three million people endured it just under half of them died. For twenty-five years the distinguished journalist and historian Harrison Salisbury pieced together this remarkable narrative of villainy and survival, in which the city had much to fear-from both Hitler and Stalin.",en,4.18,The 900 Days : The Siege Of Leningrad,True,385
European History,"As a good drawing is often better than a thousand explanations, what could be better than a Comic Strip to tell the tale of Operation Overlord and the Allied Landings in Normandy ?",en,3.66,6th June - Overlord,True,180
History Of The Americas,This is the evocative history of the 5th Marine Regiment Sniper Platoon in Vietnam written by one of their own. This highly specialized unit recorded the highest number of kills and the highest kill ratio during the entire Vietnam War and because of their success the Viet Cong placed a bounty on their heads.,en,3.7,13 Cent Killers : The 5th Marine Snipers in Vietnam,True,309
History Of The Americas,"From Massachusetts to Florida to Washington to California, 50 Great American Places takes you on a journey through our nation's history. Sharing the inside stories of sites as old as Mesa Verde (Colorado) and Cahokia (Illinois) and as recent as Silicon Valley (California) and the Mall of America (Minnesota), each essay provides the historical context for places that represent fundamental American themes: the compelling story of democracy and self-government; the dramatic impact of military conflict; the powerful role of innovation and enterprise; the inspiring achievements of diverse cultural traditions; and the defining influence of the land and its resources. Sites you would expect-in Boston, New York, and Washington, DC-are here, as well as plenty of surprises, such as the Palace of the Governors in Santa Fe, or Ebenezer Baptist Church in Atlanta, or the Village Green in Hudson, Ohio; less obvious places that, together with the more well-known destinations, collectively tell the story of America. For families who want to take a trip that is both educational and entertaining, for history enthusiasts, or anyone curious about our country's greatest places, this book is the perfect guide.",en,3.57,50 Great American Places : Essential Historic Sites Across the U.S.,True,1206
Reference Works,'300 Questions and Answers in Exotics & Wildlife' has been published in response to repeated requests for self-test material in this subject - one of the areas that cause most difficulty in examination.  This collection of multiple choice questions gives students the opportunity to concentrate on specific areas of weakness with a focussed and comprehensive review programme in the subject of their choice.,en,,300 Questions and Answers in Exotics and Wildlife for Veterinary Nurses,False,407
Children's Fiction,"While his parents are in Geneva, sixteen-year-old Dan spends his last year of high school living with his twenty-two-year-old bass-playing aunt, Jacq, and her beautiful friend Naomi, whose active lovelife is audible through the wall between their bedrooms.While his parents are in Geneva, sixteen-year-old Dan spends his last year of high school living with his twenty-two-year-old bass-playing aunt, Jacq, and her beautiful friend Naomi, whose active lovelife is audible through the wall between their bedrooms.",en,3.48,48 Shades of Brown,True,512
"Astronomy, Space & Time","For millennia humanity has gazed in wonder at the night sky, tracked the motions of the planets and attempted to explain our place in the Universe. But only in our own time has the true scale, the astonishing variety and the remarkable strangeness of the cosmos come clearly into focus.",en,3.86,50 Ideas You Really Need to Know: Universe,True,286
